zipcode,year,unemp_rate,med_income,med_rent,rent_burden,poverty_rate
11225,2023,0.0733668041360349,85201,1733,0.4479532742661981,0.14249570955927884
11226,2023,0.06491551241630947,81084,1751,0.46909005352626315,0.15297239701654572
11228,2023,0.05995261809215298,80737,1828,0.5362255331580486,0.13216738350402776
11229,2023,0.0501813784764208,72556,1666,0.48477079899896236,0.15770947262555787
11230,2023,0.06413780927640042,69522,1734,0.5417002237136466,0.1905993618960802
11231,2023,0.07061801675977654,138485,2474,0.30955457913328166,0.12952088111500365
11232,2023,0.05909988425137877,87517,1972,0.4847414523876801,0.17063331988705124
11233,2023,0.07701289224033082,62034,1613,0.5009717980246717,0.23593698600095034
11234,2023,0.060728651879094354,94434,1771,0.4780543416302489,0.09744228286820732
11235,2023,0.06073830672074755,61689,1649,0.5842171490203127,0.17438668513206054
11236,2023,0.07243734762459092,82813,1637,0.4607320324809114,0.1331146775357704
11237,2023,0.08889596377657505,82570,2109,0.5492303778145274,0.20833240898906316
11238,2023,0.06474669459353319,132957,2511,0.3754573170731707,0.11731409736483338
11239,2023,0.08871730223763,35675,1016,0.5183885640025991,0.2480800705023291
11354,2023,0.04952581664910432,62833,1766,0.5596010764603451,0.18084141629209052
11355,2023,0.07574575204531152,53700,1664,0.5744898909904034,0.2177673153906191
11356,2023,0.10417752624916227,91445,2160,0.5689411764705883,0.09349125607990198
11357,2023,0.07681372797888003,97754,2228,0.5131437768240343,0.09089393325869995
11358,2023,0.0708551107279487,88729,2086,0.5018119397291627,0.1041289189040795
11360,2023,0.037366548042704624,100250,2329,0.41594136509390744,0.07668932838895756
11361,2023,0.049348230912476726,108391,2315,0.4189341128850911,0.09272879932829554
11362,2023,0.051235230934479056,118989,2548,0.3917079207920792,0.0572252412110458
11363,2023,0.04775048302511731,110833,2235,0.6769041769041769,0.08915502328675981
11364,2023,0.04978343110916169,101222,2330,0.4766262676230522,0.06980323183467077
11365,2023,0.0612657297694498,85375,1869,0.442989306740358,0.0946876878265292
11366,2023,0.04790152751001038,117402,2101,0.33194444444444443,0.10614916997895721
11367,2023,0.05553359683794466,75804,1774,0.5076963214192538,0.13982905982905983
11368,2023,0.059728918402619846,71798,1925,0.5302763333190081,0.18342801770819478
11369,2023,0.06760188656427621,80577,1983,0.5351769911504425,0.151064288574685
11370,2023,0.09678659286592865,74895,2071,0.4982214317474433,0.10758180367118915
11372,2023,0.08498113611430712,77133,1795,0.5144181566431882,0.14902726658153684
11373,2023,0.054890403389206116,71470,1913,0.5727649395583273,0.11771705193788201
11374,2023,0.05648823161841283,86333,1957,0.5089422585590189,0.14271100857528404
11375,2023,0.04021034609269904,104319,2126,0.4463538086608761,0.07920157120525873
11377,2023,0.049025166833864,73292,1802,0.4878587196467991,0.10788846348334899
11378,2023,0.06907605604674008,84762,1932,0.5496940631718208,0.1317326930772309
11379,2023,0.04404320826592913,92509,1989,0.4719409644757165,0.07294684682245269
11385,2023,0.06468492730402768,87365,1959,0.44386761842959116,0.11464414957780458
11411,2023,0.05454375642103297,118393,1605,0.590080971659919,0.059988208705905474
11412,2023,0.04308935269789362,98418,1630,0.5057952350289762,0.09637061510057332
11413,2023,0.04276485788113695,114766,2038,0.45180240320427234,0.05933982490619975
11414,2023,0.08332114118507682,98209,1991,0.4842417500926956,0.061466709552910906
11415,2023,0.065506222670703,88632,1909,0.49136760426770126,0.09379855911851956
11416,2023,0.0724702380952381,85544,1964,0.5240526740123622,0.15033298017254426
11417,2023,0.061529933481152994,86330,1853,0.5206463195691203,0.12282812082330928
11418,2023,0.05632363225563505,84927,1788,0.49158249158249157,0.09877372753233664
11419,2023,0.08094670666064017,91231,1920,0.6154932418801694,0.11570974939924476
11420,2023,0.09391707481212846,98584,2032,0.5682451253481894,0.10834735239926299
11421,2023,0.07538110111416717,89439,1901,0.47502638058389024,0.09919013832150791
11422,2023,0.06835184765359328,108519,2327,0.5562671546203111,0.08473854020819382
11423,2023,0.09426495393797846,80870,1706,0.5283425017938292,0.1052115781736726
11426,2023,0.05920426422996383,107591,2158,0.5189473684210526,0.0714978805985394
11427,2023,0.0685869924067349,92129,1697,0.4859154929577465,0.11493881507208917
11428,2023,0.08189869638770027,84977,1827,0.6602364654635967,0.09018143009605123
11429,2023,0.10565320041972717,98232,1605,0.5470265710670603,0.08622997070206533
11432,2023,0.08268825910931174,75395,1841,0.5413457798521976,0.1518183134157914
11433,2023,0.1342663459435819,71177,1529,0.5748544021925317,0.12351468002344541
11434,2023,0.0955970432699331,76668,1409,0.4847600240405255,0.11772751183587586
11435,2023,0.11404772342957349,79430,1820,0.5073163138231631,0.1426944185564875
11436,2023,0.06766984240049861,86104,2079,0.5505514705882353,0.12353970581279856
11691,2023,0.09622277364212849,57027,1444,0.554564302318276,0.20830074011673386
11692,2023,0.0895688175300414,49507,1274,0.599587009573869,0.27168066853358225
11693,2023,0.1081376297105407,67829,1198,0.4790665751544269,0.18116557313778464
11694,2023,0.07879756316788175,103792,1787,0.4392570281124498,0.11695990770118257
11697,2023,0.028423772609819122,134844,-666666666,0.21428571428571427,0.04996361872422993
